route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
4,2022_09_12-DX-MVS-Weekday-33,1184639,OAK Airport / Berryessa/North San Jose,1,,1184638_shp,,1,1
3,2022_09_12-DX-MVS-Weekday-33,1184810,OAK Airport / Richmond,0,,1184782_shp,,1,1
4,2022_09_12-DX-MVS-Weekday-33,1184625,OAK Airport / Berryessa/North San Jose,1,,1184638_shp,,1,1
3,2022_09_12-DX-MVS-Weekday-33,1184772,OAK Airport / Richmond,0,,1184782_shp,,1,1
4,2022_09_12-DX-MVS-Weekday-33,1184668,OAK Airport / Berryessa/North San Jose,1,,1184638_shp,,1,1
3,2022_09_12-DX-MVS-Weekday-33,1184811,OAK Airport / Richmond,0,,1184782_shp,,1,1
4,2022_09_12-DX-MVS-Weekday-33,1184626,OAK Airport / Berryessa/North San Jose,1,,1184638_shp,,1,1
3,2022_09_12-DX-MVS-Weekday-33,1184773,OAK Airport / Richmond,0,,1184782_shp,,1,1
4,2022_09_12-DX-MVS-Weekday-33,1184669,OAK Airport / Berryessa/North San Jose,1,,1184638_shp,,1,1
3,2022_09_12-DX-MVS-Weekday-33,1184774,OAK Airport / Richmond,0,,1184782_shp,,1,1
4,2022_09_12-DX-MVS-Weekday-33,1184627,OAK Airport / Berryessa/North San Jose,1,,1184638_shp,,1,1
3,2022_09_12-DX-MVS-Weekday-33,1184775,OAK Airport / Richmond,0,,1184782_shp,,1,1
3,2022_09_12-DX-MVS-Weekday-33,1184776,OAK Airport / Richmond,0,,1184782_shp,,1,1
4,2022_09_12-DX-MVS-Weekday-33,1184628,OAK Airport / Berryessa/North San Jose,1,,1184638_shp,,1,1
3,2022_09_12-DX-MVS-Weekday-33,1184777,OAK Airport / Richmond,0,,1184782_shp,,1,1
4,2022_09_12-DX-MVS-Weekday-33,1184629,OAK Airport / Berryessa/North San Jose,1,,1184638_shp,,1,1
3,2022_09_12-DX-MVS-Weekday-33,1184778,OAK Airport / Richmond,0,,1184782_shp,,1,1
4,2022_09_12-DX-MVS-Weekday-33,1184630,OAK Airport / Berryessa/North San Jose,1,,1184638_shp,,1,1
3,2022_09_12-DX-MVS-Weekday-33,1184779,OAK Airport / Richmond,0,,1184782_shp,,1,1
4,2022_09_12-DX-MVS-Weekday-33,1184631,OAK Airport / Berryessa/North San Jose,1,,1184638_shp,,1,1
3,2022_09_12-DX-MVS-Weekday-33,1184780,OAK Airport / Richmond,0,,1184782_shp,,1,1
4,2022_09_12-DX-MVS-Weekday-33,1184632,OAK Airport / Berryessa/North San Jose,1,,1184638_shp,,1,1
4,2022_09_12-DX-MVS-Weekday-33,1184633,OAK Airport / Berryessa/North San Jose,1,,1184638_shp,,1,1
4,2022_09_12-DX-MVS-Weekday-33,1184634,OAK Airport / Berryessa/North San Jose,1,,1184638_shp,,1,1
4,2022_09_12-DX-MVS-Weekday-33,1184635,OAK Airport / Berryessa/North San Jose,1,,1184638_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185155,San Francisco International Airport,1,,1185155_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184982,San Francisco / Antioch,0,,1184982_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185154,San Francisco International Airport,1,,1185155_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184981,San Francisco / Antioch,0,,1184982_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185153,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184980,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185152,San Francisco International Airport,1,,1185153_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185085,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184979,San Francisco / Antioch,0,,1184979_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185086,San Francisco International Airport,1,,1185153_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185087,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184913,San Francisco / Antioch,0,,1184979_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185088,San Francisco International Airport,1,,1185153_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185089,San Francisco International Airport,1,,1185153_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185090,San Francisco International Airport,1,,1185153_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185091,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184914,San Francisco / Antioch,0,,1184979_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185092,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184915,San Francisco / Antioch,0,,1184979_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185093,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184916,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185094,San Francisco International Airport,1,,1185153_shp,,1,1
